areatype,date,name,code,newAdmissions,cumAdmissions,cumAdmissionsByAge,covidOccupiedMVBeds,hospitalCases
nhsRegion,2020-03-19,London,E40000003,240.0,240.0,"[{'age': '18_to_64', 'rate': 1.1, 'value': 67}, {'age': '0_to_5', 'rate': 0.3, 'value': 2}, {'age': '6_to_17', 'rate': 0.0, 'value': 0}, {'age': '85+', 'rate': 19.7, 'value': 30}, {'age': '65_to_84', 'rate': 6.9, 'value': 65}]",,
nhsRegion,2020-03-20,London,E40000003,272.0,512.0,"[{'age': '18_to_64', 'rate': 2.5, 'value': 146}, {'age': '0_to_5', 'rate': 0.3, 'value': 2}, {'age': '6_to_17', 'rate': 0.2, 'value': 3}, {'age': '85+', 'rate': 39.3, 'value': 60}, {'age': '65_to_84', 'rate': 14.3, 'value': 135}]",,841.0
nhsRegion,2020-03-21,London,E40000003,311.0,823.0,"[{'age': '18_to_64', 'rate': 4.0, 'value': 236}, {'age': '0_to_5', 'rate': 0.4, 'value': 3}, {'age': '6_to_17', 'rate': 0.3, 'value': 4}, {'age': '85+', 'rate': 63.0, 'value': 96}, {'age': '65_to_84', 'rate': 20.9, 'value': 198}]",,1081.0
nhsRegion,2020-03-22,London,E40000003,335.0,1158.0,"[{'age': '18_to_64', 'rate': 5.6, 'value': 326}, {'age': '0_to_5', 'rate': 0.6, 'value': 4}, {'age': '6_to_17', 'rate': 0.3, 'value': 4}, {'age': '85+', 'rate': 84.6, 'value': 129}, {'age': '65_to_84', 'rate': 28.4, 'value': 269}]",,1266.0
nhsRegion,2020-03-23,London,E40000003,505.0,1663.0,"[{'age': '18_to_64', 'rate': 8.3, 'value': 489}, {'age': '0_to_5', 'rate': 1.3, 'value': 9}, {'age': '6_to_17', 'rate': 0.6, 'value': 8}, {'age': '85+', 'rate': 121.3, 'value': 185}, {'age': '65_to_84', 'rate': 46.5, 'value': 440}]",,1559.0
nhsRegion,2020-03-24,London,E40000003,637.0,2300.0,"[{'age': '18_to_64', 'rate': 11.1, 'value': 648}, {'age': '0_to_5', 'rate': 2.4, 'value': 17}, {'age': '6_to_17', 'rate': 0.8, 'value': 11}, {'age': '85+', 'rate': 165.9, 'value': 253}, {'age': '65_to_84', 'rate': 63.7, 'value': 603}]",,1705.0
nhsRegion,2020-03-25,London,E40000003,675.0,2975.0,"[{'age': '18_to_64', 'rate': 15.0, 'value': 878}, {'age': '0_to_5', 'rate': 3.2, 'value': 23}, {'age': '6_to_17', 'rate': 1.1, 'value': 15}, {'age': '85+', 'rate': 225.6, 'value': 344}, {'age': '65_to_84', 'rate': 83.4, 'value': 789}]",,2051.0
nhsRegion,2020-03-26,London,E40000003,519.0,3494.0,"[{'age': '18_to_64', 'rate': 18.4, 'value': 1077}, {'age': '0_to_5', 'rate': 4.2, 'value': 30}, {'age': '6_to_17', 'rate': 1.3, 'value': 17}, {'age': '85+', 'rate': 261.7, 'value': 399}, {'age': '65_to_84', 'rate': 98.5, 'value': 932}]",,2244.0
nhsRegion,2020-03-27,London,E40000003,639.0,4133.0,"[{'age': '18_to_64', 'rate': 22.1, 'value': 1292}, {'age': '0_to_5', 'rate': 4.3, 'value': 31}, {'age': '6_to_17', 'rate': 1.4, 'value': 19}, {'age': '85+', 'rate': 302.3, 'value': 461}, {'age': '65_to_84', 'rate': 117.0, 'value': 1107}]",,2829.0
nhsRegion,2020-03-28,London,E40000003,551.0,4684.0,"[{'age': '18_to_64', 'rate': 25.0, 'value': 1467}, {'age': '0_to_5', 'rate': 5.3, 'value': 38}, {'age': '6_to_17', 'rate': 1.7, 'value': 23}, {'age': '85+', 'rate': 342.3, 'value': 522}, {'age': '65_to_84', 'rate': 131.7, 'value': 1246}]",,3114.0
