areatype,date,name,code,newCasesByPublishDate,cumCasesByPublishDate,cumCasesBySpecimenDateRate,newCasesBySpecimenDate,cumCasesBySpecimenDate,newPillarOneTestsByPublishDate,cumPillarOneTestsByPublishDate,newPillarTwoTestsByPublishDate,cumPillarTwoTestsByPublishDate,newPillarThreeTestsByPublishDate,cumPillarThreeTestsByPublishDate,newPillarFourTestsByPublishDate,cumPillarFourTestsByPublishDate,newAdmissions,cumAdmissions,cumTestsByPublishDate,newTestsByPublishDate,covidOccupiedMVBeds,hospitalCases,plannedCapacityByPublishDate,newDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDateRate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDateRate
overview,2020-01-30,United Kingdom,K02000001,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
overview,2020-01-31,United Kingdom,K02000001,2.0,2.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
overview,2020-02-01,United Kingdom,K02000001,0.0,2.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
overview,2020-02-02,United Kingdom,K02000001,0.0,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
overview,2020-02-03,United Kingdom,K02000001,0.0,2.0,,18.0,20.0,,,,,,,,,,,,,,,,,,,,,
overview,2020-02-04,United Kingdom,K02000001,0.0,2.0,,0.0,20.0,,,,,,,,,,,,,,,,,,,,,
overview,2020-02-05,United Kingdom,K02000001,0.0,2.0,,1.0,21.0,,,,,,,,,,,,,,,,,,,,,
overview,2020-02-06,United Kingdom,K02000001,1.0,3.0,,0.0,21.0,,,,,,,,,,,,,,,,,,,,,
overview,2020-02-07,United Kingdom,K02000001,0.0,3.0,,0.0,21.0,,,,,,,,,,,,,,,,,,,,,
overview,2020-02-08,United Kingdom,K02000001,0.0,3.0,,3.0,24.0,,,,,,,,,,,,,,,,,,,,,
overview,2020-02-09,United Kingdom,K02000001,1.0,4.0,,1.0,25.0,,,,,,,,,,,,,,,,,,,,,
