date,name,code,covidOccupiedMVBeds,cumAdmissions,cumAdmissionsByAge,cumCasesByPublishDate,cumCasesBySpecimenDate,cumCasesBySpecimenDateRate,cumDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDateRate,cumDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDateRate,cumPillarFourTestsByPublishDate,cumPillarOneTestsByPublishDate,cumPillarThreeTestsByPublishDate,cumPillarTwoTestsByPublishDate,cumTestsByPublishDate,femaleCases,hospitalCases,maleCases,newAdmissions,newCasesByPublishDate,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newDeaths28DaysByPublishDate,newPillarFourTestsByPublishDate,newPillarOneTestsByPublishDate,newPillarThreeTestsByPublishDate,newPillarTwoTestsByPublishDate,newTestsByPublishDate,plannedCapacityByPublishDate
2020-01-30,United Kingdom,K02000001,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,
2020-01-31,United Kingdom,K02000001,,,,2.0,2.0,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,
2020-02-01,United Kingdom,K02000001,,,,2.0,2.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
2020-02-02,United Kingdom,K02000001,,,,2.0,2.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
2020-02-03,United Kingdom,K02000001,,,,2.0,2.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
2020-02-04,United Kingdom,K02000001,,,,2.0,2.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
2020-02-05,United Kingdom,K02000001,,,,2.0,3.0,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,
2020-02-06,United Kingdom,K02000001,,,,3.0,3.0,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,
2020-02-07,United Kingdom,K02000001,,,,3.0,3.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
2020-02-08,United Kingdom,K02000001,,,,3.0,7.0,,,,,,,,,,,,,,,0.0,4.0,,,,,,,,
2020-02-09,United Kingdom,K02000001,,,,4.0,8.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
2020-02-10,United Kingdom,K02000001,,,,8.0,8.0,,,,,,,,,,,,,,,4.0,0.0,,,,,,,,
2020-02-11,United Kingdom,K02000001,,,,8.0,9.0,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,
2020-02-12,United Kingdom,K02000001,,,,8.0,9.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
2020-02-13,United Kingdom,K02000001,,,,9.0,9.0,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,
2020-02-14,United Kingdom,K02000001,,,,9.0,9.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
2020-02-15,United Kingdom,K02000001,,,,9.0,9.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
2020-02-16,United Kingdom,K02000001,,,,9.0,9.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
2020-02-17,United Kingdom,K02000001,,,,9.0,9.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
2020-02-18,United Kingdom,K02000001,,,,9.0,9.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
2020-02-19,United Kingdom,K02000001,,,,9.0,9.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
2020-02-20,United Kingdom,K02000001,,,,9.0,9.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
2020-02-21,United Kingdom,K02000001,,,,9.0,10.0,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,
2020-02-22,United Kingdom,K02000001,,,,9.0,10.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
2020-02-23,United Kingdom,K02000001,,,,9.0,11.0,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,
2020-02-24,United Kingdom,K02000001,,,,13.0,13.0,,,,,,,,,,,,,,,4.0,2.0,,,,,,,,
2020-02-25,United Kingdom,K02000001,,,,13.0,18.0,,,,,,,,,,,,,,,0.0,5.0,,,,,,,,
2020-02-26,United Kingdom,K02000001,,,,13.0,22.0,,,,,,,,,,,,,,,0.0,4.0,,,,,,,,
2020-02-27,United Kingdom,K02000001,,,,13.0,30.0,,,,,,,,,,,,,,,0.0,8.0,,,,,,,,
2020-02-28,United Kingdom,K02000001,,,,19.0,43.0,0.1,,,,,,,,,,,,,,6.0,12.0,,,,,,,,
2020-02-29,United Kingdom,K02000001,,,,23.0,48.0,0.1,,,,,,,,,,,,,,4.0,5.0,,,,,,,,
2020-03-01,United Kingdom,K02000001,,,,35.0,70.0,0.1,,,,,,,,,,,,,,12.0,22.0,,,,,,,,
2020-03-02,United Kingdom,K02000001,,,,40.0,109.0,0.2,1.0,,,,,,,,,,,,,5.0,39.0,1.0,,,,,,,
2020-03-03,United Kingdom,K02000001,,,,51.0,165.0,0.2,3.0,,,,,,,,,,,,,11.0,56.0,2.0,,,,,,,
2020-03-04,United Kingdom,K02000001,,,,85.0,221.0,0.3,3.0,,,,,,,,,,,,,34.0,56.0,0.0,,,,,,,
2020-03-05,United Kingdom,K02000001,,,,114.0,271.0,0.4,6.0,,,,,,,,,,,,,29.0,50.0,3.0,,,,,,,
2020-03-06,United Kingdom,K02000001,,,,160.0,352.0,0.5,6.0,,1.0,,,,,,,,,,,46.0,81.0,0.0,1.0,,,,,,
2020-03-07,United Kingdom,K02000001,,,,206.0,419.0,0.6,6.0,,2.0,,,,,,,,,,,46.0,67.0,0.0,1.0,,,,,,
2020-03-08,United Kingdom,K02000001,,,,271.0,476.0,0.7,9.0,,2.0,,,,,,,,,,,65.0,57.0,3.0,0.0,,,,,,
2020-03-09,United Kingdom,K02000001,,,,321.0,623.0,0.9,14.0,,3.0,,,,,,,,,,,50.0,147.0,5.0,1.0,,,,,,
2020-03-10,United Kingdom,K02000001,,,,373.0,889.0,1.3,17.0,,7.0,,,,,,,,,,,52.0,266.0,3.0,4.0,,,,,,
2020-03-11,United Kingdom,K02000001,,,,456.0,1294.0,1.9,25.0,,7.0,,,,,,,,,,,83.0,405.0,8.0,0.0,,,,,,
2020-03-12,United Kingdom,K02000001,,,,590.0,1775.0,2.6,38.0,0.1,9.0,,,,,,,,,,,134.0,481.0,13.0,2.0,,,,,,
2020-03-13,United Kingdom,K02000001,,,,797.0,2254.0,3.4,54.0,0.1,10.0,,,,,,,,,,,207.0,479.0,16.0,1.0,,,,,,
2020-03-14,United Kingdom,K02000001,,,,1061.0,2617.0,3.9,76.0,0.1,29.0,,,,,,,,,,,264.0,363.0,22.0,18.0,,,,,,
2020-03-15,United Kingdom,K02000001,,,,1391.0,3059.0,4.6,108.0,0.2,43.0,0.1,,,,,,,,,,330.0,442.0,32.0,14.0,,,,,,
2020-03-16,United Kingdom,K02000001,,,,1543.0,3668.0,5.5,155.0,0.2,65.0,0.1,,,,,,,,,,152.0,609.0,47.0,22.0,,,,,,
2020-03-17,United Kingdom,K02000001,,,,1950.0,4436.0,6.6,207.0,0.3,82.0,0.1,,,,,,,,,,407.0,768.0,52.0,16.0,,,,,,
2020-03-18,United Kingdom,K02000001,,,,2626.0,5434.0,8.1,275.0,0.4,116.0,0.2,,,,,,,,,,676.0,998.0,68.0,34.0,,,,,,
2020-03-19,United Kingdom,K02000001,,,,3269.0,6484.0,9.7,349.0,0.5,162.0,0.2,,,,,,,,,,643.0,1050.0,74.0,45.0,,,,,,
2020-03-20,United Kingdom,K02000001,,,,3983.0,7746.0,11.5,458.0,0.7,194.0,0.3,,,,,,,,,,714.0,1262.0,109.0,32.0,,,,,,6127.0
2020-03-21,United Kingdom,K02000001,,,,5018.0,8937.0,13.3,588.0,0.9,252.0,0.4,,,,,,,,,,1035.0,1191.0,130.0,58.0,,,,,,6127.0
2020-03-22,United Kingdom,K02000001,,,,5683.0,10311.0,15.4,752.0,1.1,288.0,0.4,,,,,,,,,,665.0,1374.0,164.0,36.0,,,,,,10949.0
2020-03-23,United Kingdom,K02000001,,4876.0,,6650.0,12631.0,18.8,938.0,1.4,364.0,0.5,,,,,,,,,1273.0,967.0,2320.0,186.0,76.0,,,,,,10949.0
2020-03-24,United Kingdom,K02000001,,6593.0,,8077.0,15002.0,22.4,1175.0,1.8,512.0,0.8,,,,,,,,,1717.0,1427.0,2371.0,237.0,148.0,,,,,,10949.0
2020-03-25,United Kingdom,K02000001,,8678.0,,9529.0,17694.0,26.4,1478.0,2.2,703.0,1.0,,,,,,,,,2085.0,1452.0,2692.0,303.0,191.0,,,,,,10949.0
2020-03-26,United Kingdom,K02000001,,10605.0,,11658.0,20777.0,31.0,1840.0,2.7,884.0,1.3,,,,,,,,,1927.0,2129.0,3083.0,362.0,181.0,,,,,,10949.0
2020-03-27,United Kingdom,K02000001,,12832.0,,14548.0,23958.0,35.7,2238.0,3.3,1172.0,1.7,,,,,,,7267.0,,2227.0,2890.0,3181.0,398.0,288.0,,,,,,10949.0
2020-03-28,United Kingdom,K02000001,,15025.0,,17104.0,26774.0,39.9,2674.0,4.0,1464.0,2.2,,,,,,,8278.0,,2193.0,2556.0,2816.0,436.0,292.0,,,,,,10949.0
2020-03-29,United Kingdom,K02000001,,17514.0,,19606.0,29629.0,44.2,3180.0,4.7,1676.0,2.5,,,,,,,9525.0,,2489.0,2502.0,2855.0,506.0,212.0,,,,,,12799.0
2020-03-30,United Kingdom,K02000001,,20705.0,,22271.0,33889.0,50.5,3772.0,5.6,2050.0,3.1,,,,,,,11093.0,,3191.0,2665.0,4260.0,592.0,374.0,,,,,,12799.0
2020-03-31,United Kingdom,K02000001,,23537.0,,25521.0,38405.0,57.3,4432.0,6.6,2453.0,3.7,,153588.0,,1586.0,155174.0,,12597.0,,2832.0,3250.0,4516.0,660.0,403.0,,11267.0,,629.0,11896.0,15499.0
2020-04-01,United Kingdom,K02000001,,27104.0,,30088.0,43336.0,64.6,5201.0,7.8,3125.0,4.7,139.0,164844.0,,2254.0,167237.0,,13637.0,,3567.0,4567.0,4931.0,769.0,672.0,23.0,11256.0,,668.0,11947.0,15499.0
2020-04-02,United Kingdom,K02000001,1813.0,30390.0,,34610.0,48199.0,71.9,6007.0,9.0,3782.0,5.6,305.0,179190.0,,2857.0,182352.0,,13875.0,,3286.0,4522.0,4863.0,806.0,657.0,166.0,12854.0,,603.0,13623.0,15499.0
